gvkey,calyear,fyear,aaer,e,car
2312,2003,2003,0,0.00455477,-0.016456382
2337,2003,2003,0,-0.004632305,-0.01256483
2345,2003,2003,0,0.019131621,0.141669992
2346,2003,2003,0,0.001082226,-0.012517236
2352,2003,2003,0,-0.005345002,-0.001408051
2393,2003,2003,0,0.024065068,0.18806252
2403,2003,2003,0,0.025611214,-0.001797553
2436,2003,2002,0,0.022330787,0.279933495
2437,2003,2003,0,0.023791792,0.011241624
2444,2003,2003,0,0.014957291,0.082524439
2448,2003,2003,0,0.003013307,-0.160625143
2490,2003,2003,0,0.003493735,-0.080504997
2504,2003,2003,0,0.003261015,0.006371593
2536,2003,2002,0,0.001820461,0.187452161
2537,2003,2003,0,-0.006998994,-0.033656694
2538,2003,2003,0,-0.004294434,-0.059915358
2574,2003,2003,0,0.000914054,-0.035136128
2577,2003,2003,0,0.003985656,-0.162598822
2589,2003,2003,0,-0.022904839,-0.274757073
2593,2003,2003,0,-0.004200759,-0.063950419
2596,2003,2003,0,0.006046579,0.097638303
2615,2003,2002,0,0.029154185,-0.134575256
2696,2003,2003,0,-0.009115271,0.068767788
2697,2003,2003,0,0.08174634,-0.013253053
2698,2003,2003,0,0.00181772,0.053737867
2751,2003,2003,1,0.001501813,-0.182988646
2771,2003,2003,0,0.016375996,0.209043002
2787,2003,2003,0,0.017759351,-0.014202028
2802,2003,2002,0,0.039195478,0.088880158
2807,2003,2002,0,0.002962978,0.122644938
2817,2003,2003,0,0.03323999,0.030360737
2845,2003,2002,0,0.021607643,0.105655457
2888,2003,2003,0,0.035785407,0.559199064
2938,2003,2002,0,0.024046618,0.03000408
2950,2003,2003,0,0.021804973,0.347358987
2953,2003,2003,0,0.026210643,0.121380292
2991,2003,2003,0,0.016575614,0.0361201
3007,2003,2003,0,0.001627372,-0.171359277
3011,2003,2003,0,0.008829696,0.018582007
3026,2003,2003,0,0.028782798,0.096279252
3028,2003,2003,0,0.003694977,-0.1020203
3054,2003,2002,0,-0.003586279,-0.109609085
3062,2003,2002,0,-0.000465565,0.118479957
3063,2003,2002,0,-9.00E-05,0.138289675
3087,2003,2002,0,0.019727495,-0.090281065
3093,2003,2003,0,0.011186654,-0.022283202
3107,2003,2003,0,-0.004860562,-0.020547638
3121,2003,2003,0,0.03031888,0.1406207
3126,2003,2003,0,-0.020661708,0.04598612
3138,2003,2003,0,-0.053892434,-0.125074421
3144,2003,2003,0,0.013996139,-0.03483702
3153,2003,2003,0,-0.11294421,0.033349757
3157,2003,2003,0,-0.013306263,0.073389934
3158,2003,2003,0,-0.00458049,-0.094318875
3164,2003,2002,0,-0.058820393,0.088072973
3170,2003,2003,0,0.034637664,-0.0412732
3218,2003,2002,0,-0.024714805,0.152760957
3277,2003,2002,0,0.02438616,0.352036124
3297,2003,2003,0,0.013008503,-0.055974294
3310,2003,2002,0,0.009014924,0.016388525
3333,2003,2003,0,0.036974657,0.236994692
3336,2003,2002,0,0.001258217,0.085683065
3358,2003,2003,0,0.01856395,-0.097810293
3362,2003,2002,1,0.007816232,-0.10472592
3365,2003,2003,0,0.008857931,0.041286478
3416,2003,2003,0,0.016249189,-0.062165898
3424,2003,2003,0,0.000347096,0.022883808
3480,2003,2003,0,0.001618796,-0.097514907
3497,2003,2003,0,0.002680552,-0.010292763
3502,2003,2003,0,-0.008105196,0.092622107
3504,2003,2003,0,0.008987515,0.138297658
3505,2003,2003,0,0.010498333,0.243003924
3532,2003,2003,0,0.018720107,-0.015153369
3556,2003,2003,0,0.007680718,0.074054821
3570,2003,2003,0,0.004842711,-0.014051544
3580,2003,2003,0,0.006990054,0.101956881
3607,2003,2003,0,-0.023624508,-0.044912929
3612,2003,2003,0,-0.048189979,-0.072310454
3647,2003,2002,0,0.008943773,-0.393048061
3650,2003,2003,0,-0.003547416,0.135775415
3662,2003,2003,0,0.007515232,0.033644674
3707,2003,2003,0,0.014984624,-0.04479802
3734,2003,2003,0,0.005378697,0.046561819
3735,2003,2003,0,0.003708186,0.131802476
3786,2003,2003,0,-0.006996455,-0.012675978
3806,2003,2003,0,-0.010561422,0.076413249
3807,2003,2003,0,-0.017114781,-0.014025348
3813,2003,2002,0,0.006074081,0.212864733
3824,2003,2002,0,0.002997117,-0.290291578
3835,2003,2003,0,0.038401265,0.088064774
3851,2003,2003,0,0.00196115,-0.211910271
3863,2003,2003,0,-0.011368867,-0.091177307
3905,2003,2003,0,-0.012257352,0.118281537
3916,2003,2003,0,0.023737038,0.168112992
3917,2003,2003,0,0.00210092,-0.05021555
3918,2003,2002,0,0.010352435,0.20634559
3946,2003,2003,1,0.001946232,0.040776274
3949,2003,2003,0,-0.006027277,-0.061785983
3964,2003,2002,0,-0.004211908,-0.064220114
3971,2003,2003,0,0.017887505,0.078097929
4001,2003,2003,0,0.003675422,0.504920332
4016,2003,2002,0,0.006505433,0.039646944
4034,2003,2003,0,-0.021096904,-0.002187324
4036,2003,2003,0,0.004778307,0.029632219
4040,2003,2003,0,0.003553959,0.103487767
4058,2003,2003,0,0.006891587,0.243659941
4060,2003,2003,0,0.053582557,0.160907437
4066,2003,2003,0,-0.000391305,0.002670063
4077,2003,2002,0,-0.0200995,-0.162622326
4087,2003,2003,0,0.021198686,0.013195466
4091,2003,2003,0,0.021211026,0.103064253
4094,2003,2003,0,-0.059426587,0.068999153
4108,2003,2003,0,0.007655055,-0.046172733
4115,2003,2003,0,0.007610873,0.504726162
4127,2003,2003,0,0.002457063,0.214342089
4145,2003,2003,0,0.002044691,0.093431523
4194,2003,2003,0,0.077882461,0.097191528
4199,2003,2003,0,0.012080553,0.109827638
4213,2003,2003,0,0.00601189,-0.000389476
4251,2003,2003,0,-0.012819318,0.043766359
4273,2003,2002,0,0.007321429,0.059296323
4274,2003,2002,0,-0.066697828,-0.313836868
4279,2003,2003,0,0.024731629,-0.045662986
4321,2003,2003,0,0.004813063,0.005722002
4340,2003,2003,0,0.00594493,0.128321244
4367,2003,2003,0,-0.00074501,0.015873053
4371,2003,2003,0,0.010910338,-0.06979478
4372,2003,2003,0,0.026332874,0.509555412
4409,2003,2003,0,-0.013858758,-0.216238861
4423,2003,2003,0,0.002450103,0.141204191
4434,2003,2003,0,0.016410677,-0.098546208
4439,2003,2003,0,-0.013817429,0.609235037
4460,2003,2003,0,0.00503923,0.189597862
4476,2003,2002,0,0.002540518,0.008227227
4477,2003,2002,0,0.09193591,-0.071174783
4494,2003,2003,0,0.004102493,0.044008092
4496,2003,2003,0,0.005332985,-0.176669144
4503,2003,2003,0,0.008228881,-0.013856726
4510,2003,2003,0,0.00653465,0.001549308
4523,2003,2002,0,0.029819811,-0.008051263
4553,2003,2003,0,-0.11226,0.118334698
4560,2003,2003,0,0.000863421,0.037734362
4598,2003,2002,0,0.002643379,0.116928741
4608,2003,2003,0,0.003954602,0.062053665
4611,2003,2002,0,0.003793929,0.245333257
4675,2003,2003,0,0.015181266,0.231312703
4771,2003,2003,0,0.010605657,-0.017126536
4802,2003,2003,0,0.01188976,0.093435632
4809,2003,2003,0,0.011293141,-0.007304631
4818,2003,2003,0,0.004516414,0.053538346
4843,2003,2002,0,0.040119451,-0.034501612
4844,2003,2003,0,-0.004574384,-0.039670471
4881,2003,2003,0,0.00139961,0.059538593
4926,2003,2003,0,-0.003649047,-0.077194526
4936,2003,2003,0,-0.000800254,0.014674409
4941,2003,2003,0,0.01270464,-0.121831104
4988,2003,2003,0,-0.000134458,-0.01608231
4990,2003,2002,0,0.054640736,-0.102031031
5018,2003,2003,0,0.012097718,0.051710333
5020,2003,2003,0,0.014689319,0.063232865
5032,2003,2003,0,-0.020950453,0.062909452
5046,2003,2003,0,0.008017552,0.129652326
5047,2003,2003,1,0.000848626,-0.044659878
5071,2003,2002,0,0.009640476,0.111841764
5073,2003,2003,0,0.058496729,-0.018850574
5074,2003,2003,0,-0.02272494,-0.171177573
5087,2003,2003,0,0.001207972,-0.20526317
5109,2003,2002,0,0.013272899,0.076775619
5116,2003,2003,0,0.009050714,0.08261208
5125,2003,2003,0,-0.004063346,-0.043253475
5134,2003,2003,0,0.008700384,0.013674572
5169,2003,2003,0,0.050640721,0.081495719
5179,2003,2003,0,-0.022678357,-0.167445232
5180,2003,2003,0,0.039709385,0.001775206
5187,2003,2003,0,0.011426286,-0.012810873
5229,2003,2003,0,0.003705304,-0.111621495
5252,2003,2003,0,0.016403465,0.044234387
5256,2003,2003,0,-0.000546788,0.002562514
5301,2003,2002,0,-0.08313036,-0.28335458
5306,2003,2003,0,-0.024521343,-0.0593335
5338,2003,2003,0,-0.000505268,0.085604233
5379,2003,2003,0,-0.019156765,0.137683587
5439,2003,2003,0,0.00511809,0.051218422
5458,2003,2002,0,0.021421297,0.034472556
5476,2003,2003,0,0.007149977,0.014083315
5492,2003,2003,0,0.004842961,-0.050987929
5496,2003,2003,0,0.005754584,-0.006823212
5505,2003,2003,0,0.011381727,0.189289298
5518,2003,2003,0,0.033399958,0.181827878
5539,2003,2003,0,0.002370697,0.172922099
5567,2003,2003,0,-0.00376549,0.123531363
5572,2003,2002,0,0.019574091,0.090987721
5578,2003,2003,0,0.004048581,0.270647605
5581,2003,2003,0,3.08E-05,-0.075735895
5594,2003,2003,0,0.005471353,0.103732219
5597,2003,2003,0,0.009950766,0.04572106
5606,2003,2003,0,0.002022856,-0.197276395
5639,2003,2003,0,0.011866628,0.05182571
5643,2003,2003,0,0.003894537,-0.072806642
5671,2003,2003,0,-0.007227006,-0.065103815
5680,2003,2002,0,0.011351337,-0.032457046
5690,2003,2003,0,0.014854109,-0.06490678
5697,2003,2003,0,0.000324096,-0.07183112
5709,2003,2003,0,-0.007775168,-0.022069197
5723,2003,2003,0,0.006871285,0.068168743
5750,2003,2003,0,0.047705989,0.14477141
5774,2003,2002,0,0.005360179,0.084050426
5783,2003,2003,0,0.032580342,0.195938774
5791,2003,2003,0,0.009188086,-0.284068097
5824,2003,2003,0,0.006116682,0.063761562
5860,2003,2003,1,0.002943696,0.004254152
5878,2003,2003,0,0.004678603,-0.01369993
5902,2003,2003,0,0.053577591,-0.050183096
5903,2003,2003,0,-0.029031562,-0.089930054
5905,2003,2003,0,0.010688785,-0.033668052
5959,2003,2003,0,0.008843663,0.084355111
5968,2003,2003,0,0.003796378,0.108299964
5973,2003,2003,0,0.038517367,-0.04019277
5978,2003,2003,0,-0.049506281,-0.14102605
5980,2003,2003,0,0.039264452,0.142335095
5987,2003,2003,0,0.001533024,0.048132955
6003,2003,2002,0,-0.001254381,-0.080584138
6008,2003,2003,0,0.02324735,0.163853718
6020,2003,2003,0,0.017454844,0.56752651
6025,2003,2003,0,-0.00019972,-0.101506156
6034,2003,2003,0,-0.038015503,-0.161557916
6036,2003,2003,0,0.005359064,0.142718871
6039,2003,2002,0,0.001542488,0.078547772
6044,2003,2003,0,-0.012033753,-0.093501201
6066,2003,2003,0,0.00408897,0.024166007
6078,2003,2003,0,-0.002055953,-0.085145652
6081,2003,2003,1,0.034059599,0.058703658
6097,2003,2003,0,0.014173254,0.083748297
6102,2003,2002,0,-0.014687084,0.062606601
6104,2003,2003,0,0.004981081,-0.024941884
6109,2003,2003,0,0.003459918,0.335303561
6116,2003,2003,0,0.002983605,-0.051169935
6140,2003,2002,0,-0.032431319,-0.354549929
6158,2003,2003,0,0.005262019,-0.047489922
6169,2003,2003,0,-0.088826634,-0.380537279
6171,2003,2003,0,-0.013130934,-0.17535615
6180,2003,2003,0,-0.001480086,0.149683534
6196,2003,2003,0,0.006652928,0.173346812
6207,2003,2003,0,0.010760078,0.10535954
6216,2003,2003,0,0.002955535,-0.17055767
6223,2003,2003,0,-0.019069308,-0.158290171
6242,2003,2003,0,0.002128678,0.033498143
6266,2003,2003,0,0.005931331,-0.035867872
6304,2003,2003,0,0.002925901,-0.054798926
6315,2003,2002,0,0.003261434,0.001437762
6326,2003,2003,0,-0.033257872,-0.149540254
6335,2003,2003,0,-0.021775791,-0.025313592
6346,2003,2002,0,0.059474215,-0.191505622
6357,2003,2003,0,0.009528066,0.085351246
6362,2003,2003,0,0.012823698,-0.002087925
6370,2003,2003,0,0.026683128,-0.07472055
6375,2003,2003,0,0.035133421,0.059524566
6376,2003,2002,0,0.01029157,0.287352974
6379,2003,2003,0,0.000597385,-0.170217171
6386,2003,2003,0,0.004094516,-0.025010389
6403,2003,2003,0,0.015580605,-0.045527549
6435,2003,2003,0,0.007431491,0.071417686
6461,2003,2003,0,0.001206194,-0.013971039
6475,2003,2003,0,0.001276196,0.010008431
6502,2003,2002,0,0.005521142,-0.101092573
6527,2003,2003,0,-0.002831223,-0.011540825
6529,2003,2003,0,0.027081719,0.053478519
6532,2003,2003,0,0.00680445,0.667838418
6543,2003,2002,0,0.015344103,0.107984351
6552,2003,2003,0,-0.020921908,-0.042407058
6565,2003,2003,0,0.012139224,0.607485727
6571,2003,2003,0,-0.077394195,-0.031021224
6573,2003,2003,0,-0.001726348,-0.313131223
6574,2003,2003,0,0.069876477,0.273770933
6588,2003,2003,0,0.007133147,0.238897715
6639,2003,2003,0,0.002108899,-0.018573234
6649,2003,2003,0,0.004848913,0.165858759
6669,2003,2003,0,0.027594736,0.1220289
6678,2003,2003,0,-0.041436296,-0.082079629
6722,2003,2003,0,0.00324004,0.000670396
6730,2003,2003,0,0.009887505,0.135641291
6733,2003,2002,0,0.014052453,0.119920212
6737,2003,2003,0,-0.005053741,0.06855589
6768,2003,2003,0,0.003764848,-0.057086631
6774,2003,2003,0,0.009208095,0.002056832
6788,2003,2003,0,-0.014451575,0.004634401
6797,2003,2003,0,-0.058450405,0.031519855
6802,2003,2002,0,0.001810136,-0.193980577
6803,2003,2003,0,-0.003550699,-0.003557214
6821,2003,2003,0,0.006012606,0.058186456
6829,2003,2002,0,0.024133503,0.21537168
6830,2003,2003,0,-0.000698927,-0.068842274
6831,2003,2003,0,0.003210221,0.378986446
6836,2003,2003,0,0.008242857,0.017783209
6845,2003,2003,0,-0.007021855,0.060549757
6865,2003,2003,0,0.032219708,0.017929828
6900,2003,2003,0,0.023758447,0.09300762
6908,2003,2003,0,0.014241798,0.061842308
6930,2003,2003,0,0.011755985,0.018593448
6946,2003,2003,0,0.006406014,0.073465881
6994,2003,2003,0,0.007427282,0.208216765
7017,2003,2003,0,0.000165203,-0.028031851
7022,2003,2002,0,-0.008541196,0.016062098
7085,2003,2003,0,0.004932678,0.084797677
7092,2003,2003,0,-0.026408786,-0.413460912
7107,2003,2002,0,0.006470409,0.317995213
7116,2003,2003,0,0.013950064,-0.083589842
7123,2003,2003,0,0.04239285,-0.271414814
7127,2003,2002,0,-0.007634222,0.004391906
7139,2003,2003,0,-0.038698893,-0.175606075
7146,2003,2003,0,-0.003507411,0.027013973
7154,2003,2003,0,0.005054602,0.138918507
7161,2003,2003,0,0.000407828,0.034609765
7163,2003,2003,0,0.008708516,0.033143782
7171,2003,2002,0,0.006527337,0.343310007
7203,2003,2003,0,0.001692694,0.095533071
7205,2003,2002,0,-0.006919733,-0.230362699
7228,2003,2002,0,0.000927019,0.019978975
7241,2003,2003,0,0.005926994,0.108920703
7250,2003,2002,0,0.026598897,0.096060454
7251,2003,2003,0,0.013486939,-0.105782241
7257,2003,2003,0,-0.002474768,-0.039245665
7260,2003,2003,0,0.004967182,0.060912857
7278,2003,2002,0,0.008023991,-0.051339242
7316,2003,2002,0,0.02481926,0.434415873
7331,2003,2003,0,0.008059802,0.037240755
7343,2003,2003,0,-0.053971786,-0.203339902
7346,2003,2003,0,0.005142264,-0.071882158
7401,2003,2002,0,0.065998085,0.104430363
7409,2003,2003,0,0.010839777,-0.049584407
7435,2003,2003,0,0.010537816,0.028623858
7469,2003,2002,0,-0.030444043,-0.294157459
7506,2003,2003,0,0.000266615,0.139087644
7526,2003,2003,0,0.020735366,0.12711476
7561,2003,2003,0,-0.014445254,0.070176454
7566,2003,2002,0,0.005607056,-0.025722453
7585,2003,2003,0,0.015304685,-0.060664197
7620,2003,2003,0,0.009926744,-0.014588488
7636,2003,2003,0,-0.001124975,-0.035318626
7637,2003,2002,0,0.007097907,0.034660629
7648,2003,2003,0,0.012943481,-0.081011321
7658,2003,2003,0,-0.097970173,0.065685806
7672,2003,2003,0,-0.054451611,0.037436844
7682,2003,2003,0,-0.020298306,-0.261032661
7691,2003,2003,0,0.014884929,0.130500697
7750,2003,2003,1,0.001809407,0.056962253
7759,2003,2003,0,-0.078882895,-0.049457149
7772,2003,2002,0,0.010432666,-0.141772525
7798,2003,2003,0,-0.004643052,0.00729931
7835,2003,2003,0,0.023515698,-0.056217155
7866,2003,2003,0,0.005299018,0.123890587
7875,2003,2003,0,0.002268957,-0.135408748
7881,2003,2003,0,0.00560443,0.044242019
7882,2003,2003,1,-0.008489476,0.088951743
7883,2003,2003,0,0.001652721,0.224426519
7906,2003,2002,0,0.001446377,0.105398928
7911,2003,2003,0,-0.005033428,-0.079497639
7912,2003,2003,0,0.015341277,-0.044021035
7921,2003,2003,0,0.003116067,0.090492209
7922,2003,2002,0,0.00452791,0.19344426
7923,2003,2003,0,0.003657071,0.040280193
7932,2003,2002,0,-0.054575704,0.024676293
7936,2003,2003,0,0.003358583,-0.061942189
7951,2003,2002,0,0.005490392,0.061376982
7984,2003,2003,0,0.04075864,0.117265062
7985,2003,2003,0,0.010042866,0.138196322
7991,2003,2003,1,0.012006423,0.170193341
8009,2003,2003,0,-0.003052437,0.123025872
8017,2003,2002,0,-0.013466967,-0.171551326
8030,2003,2003,0,-0.001260948,-0.03700509
8049,2003,2003,0,-0.010425074,0.00445454
8068,2003,2003,0,0.007945306,-0.027567405
8079,2003,2003,0,0.001122687,-0.005075612
8092,2003,2002,1,0.011223501,-0.146015817
8123,2003,2003,0,0.011635557,-0.171934822
8133,2003,2003,0,0.001177727,-0.032254601
8150,2003,2002,0,0.016973754,0.219519935
8176,2003,2003,0,0.008396232,-0.076935779
8193,2003,2003,0,-0.068246722,-0.254517576
8210,2003,2003,0,0.027821776,0.038802946
8213,2003,2003,0,0.007791219,-0.049411704
8215,2003,2003,0,-0.039870355,-0.059567513
8229,2003,2003,0,0.002171175,-0.113518789
8247,2003,2003,0,0.009936232,0.017160411
8253,2003,2003,0,0.006402082,0.021757764
8266,2003,2002,0,0.03567411,-0.154076663
8293,2003,2003,0,0.01449205,-0.215244479
8304,2003,2003,0,0.021105958,0.142284722
8333,2003,2003,0,0.018080311,0.070159568
8341,2003,2003,0,0.015944455,0.083131178
8348,2003,2002,0,-0.00109072,-0.107407951
8357,2003,2003,0,0.023577759,-0.263819294
8358,2003,2003,0,0.002158921,0.002147361
8365,2003,2003,0,-0.071063094,-0.243643456
8387,2003,2003,0,0.018962629,-0.014938203
8402,2003,2002,0,0.008741755,0.155075599
8440,2003,2003,0,0.0087685,0.058159331
8446,2003,2002,0,0.011982135,0.17021234
8463,2003,2003,0,0.002095901,0.113767767
8475,2003,2002,0,0.001214535,-0.270464555
8479,2003,2003,0,-0.010728952,0.147339551
8488,2003,2003,0,0.007444219,0.01873364
8512,2003,2003,0,0.044700846,0.327204667
8530,2003,2003,0,0.011098647,0.007488882
8536,2003,2003,0,0.006849404,0.07513077
8543,2003,2003,0,0.010816835,0.063668899
8549,2003,2003,0,0.011516845,-0.030033746
8551,2003,2002,0,0.008610934,-0.037986453
8579,2003,2002,0,0.012826954,0.043000665
8599,2003,2002,0,0.010642918,-0.155931618
8606,2003,2003,0,0.002289958,-0.00652499
8626,2003,2003,0,0.005571009,-0.090007735
8633,2003,2002,0,0.024642989,-0.001087959
8644,2003,2003,0,-0.014558617,-0.100717047
8655,2003,2003,0,0.042423718,-0.179461291
8675,2003,2003,0,-0.000282432,0.16061166
8687,2003,2003,0,-0.006500441,-0.259091446
8692,2003,2003,0,0.017420201,0.010661463
8699,2003,2003,0,0.001038061,0.207580917
8717,2003,2002,0,0.004007963,-0.124331359
8750,2003,2003,0,0.002061749,-0.106266619
8755,2003,2003,0,0.025011016,0.089770067
8759,2003,2002,0,0.006667072,-0.154498685
8762,2003,2003,0,0.004155319,0.02570525
8823,2003,2003,0,0.013563496,0.096039154
8850,2003,2003,0,-0.002088755,0.052419626
8858,2003,2002,0,0.009227591,0.018823023
8859,2003,2003,0,0.001479425,0.070625513
8867,2003,2002,0,0.053173702,0.042218423
8872,2003,2003,0,0.006524445,0.02511587
8881,2003,2003,0,0.012707015,0.153128084
8902,2003,2002,0,0.00439743,-0.296393204
8972,2003,2003,0,-0.014463427,-0.102561337
9004,2003,2003,0,0.004091297,-0.054307763
9016,2003,2003,0,0.000894813,-0.127696201
9023,2003,2003,0,0.005845075,0.029088822
9063,2003,2003,0,0.008120269,0.072862251
9112,2003,2003,0,0.011156621,-0.09384105
9125,2003,2002,0,-0.012262385,0.058091118
9173,2003,2003,0,-0.000222707,0.029337975
9203,2003,2003,0,0.006168683,0.151358756
9216,2003,2003,0,0.004214395,0.167318911
9217,2003,2003,0,0.005948358,0.134761342
9248,2003,2002,0,0.001305823,0.00607383
9258,2003,2003,0,-0.015026106,-0.118743684
9259,2003,2003,0,0.016405758,0.209986111
9284,2003,2003,0,0.004196405,0.082909375
9289,2003,2003,0,-0.026113408,-0.094511081
9293,2003,2003,0,0.011487182,0.073362026
9298,2003,2003,0,0.006445949,-0.020196484
9299,2003,2003,0,0.008046955,0.162168802
9302,2003,2003,0,0.034873832,0.131353498
9359,2003,2003,0,-0.017158868,0.035681743
9372,2003,2003,0,0.01055612,0.092480712
9411,2003,2003,0,0.011969808,-0.185006064
9459,2003,2003,0,-0.009839421,-0.000908979
9465,2003,2003,0,0.016775997,0.059959911
9466,2003,2002,0,-0.018036351,-0.045670242
9472,2003,2003,0,-0.009286978,-0.067250975
9483,2003,2003,0,0.008969289,-0.194909565
9555,2003,2003,0,0.001468712,0.035401922
9563,2003,2003,0,0.008656271,-0.050551628
9599,2003,2002,0,-0.001504438,-0.356180986
9611,2003,2003,0,0.008213778,0.074013318
9613,2003,2003,0,-0.016745837,-0.096730783
9667,2003,2003,0,0.007907827,0.14766827
9699,2003,2003,0,0.008238013,-0.033390912
9715,2003,2003,0,-0.014687494,-0.097688869
9719,2003,2003,0,-0.02381994,-0.01303739
9771,2003,2003,0,-0.011146544,0.051930613
9772,2003,2003,0,0.005525951,0.116611092
9774,2003,2002,0,-0.005501698,0.140676435
9778,2003,2003,0,-0.010133401,-0.010466733
9815,2003,2003,0,0.002081435,-0.039193983
9835,2003,2002,0,-0.066846237,-0.02963808
9872,2003,2003,0,0.049741868,-0.060724501
9882,2003,2003,0,0.003531731,0.071838981
9919,2003,2003,0,-0.040038597,-0.052613117
9921,2003,2003,0,-0.004392038,-0.092191111
9969,2003,2003,0,-0.090782933,0.111021304
9988,2003,2002,0,0.022393869,-0.001346925
9999,2003,2002,0,0.005729253,-0.149436742
10000,2003,2003,0,-0.026486833,-0.149782369
10002,2003,2003,0,0.034178309,0.144574382
10005,2003,2003,0,-0.017606787,0.086501233
10016,2003,2003,0,0.009750318,0.02343191
10033,2003,2002,0,0.003384449,0.157265394
10044,2003,2003,0,0.002317912,-0.067213982
10056,2003,2003,0,-0.0250291,-0.095807314
10085,2003,2002,0,0.003132093,-0.018228894
10097,2003,2003,0,0.008937701,-0.101679158
10115,2003,2003,0,0.006638383,0.037405041
10156,2003,2003,0,0.000136133,0.011577217
10190,2003,2002,0,-0.010740717,0.024462076
10195,2003,2003,0,6.14E-05,-0.105656573
10221,2003,2003,0,0.017471923,0.232762069
10232,2003,2003,0,-0.012634913,-0.014695033
10247,2003,2003,0,0.004299102,0.020282584
10252,2003,2003,0,0.008288798,0.26747558
10266,2003,2003,0,0.007470449,0.102275035
10297,2003,2003,0,-0.028171426,-0.160614768
10306,2003,2002,0,-0.069556482,-0.038171822
10321,2003,2003,0,-0.026576841,-0.062409419
10331,2003,2002,0,0.017223671,-0.010393639
